"sr_pred_filled.chamber_date_time","sr_pred_filled.plotID","sr_pred_filled.id","sr_pred_filled.lat","sr_pred_filled.lon","sr_pred_filled.treatment","sr_pred_filled.org_layer","sr_pred_filled.flow","sr_pred_filled.land_use","sr_pred_filled.topo_wetness","sr_pred_filled.inclination","sr_pred_filled.elevation","sr_pred_filled.northness","sr_pred_filled.eastness","sr_pred_filled.doy","sr_pred_filled.do2y","sr_pred_filled.year","sr_pred_filled.ndvi_area","sr_pred_filled.ndvi_dif_area","sr_pred_filled.ph_mineral","sr_pred_filled.density","sr_pred_filled.per_c","sr_pred_filled.per_n","sr_pred_filled.cn","sr_pred_filled.WHC","sr_pred_filled.WHCact","sr_pred_filled.SOC_0_10","sr_pred_filled.SM_0_10","sr_pred_filled.ST_0_10","sr_pred_filled.SOC_0_30","sr_pred_filled.SM_0_30","sr_pred_filled.ST_0_30","sr_pred_filled.SOC_10_30","sr_pred_filled.SM_10_30","sr_pred_filled.ST_10_30"
2021-12-02 10:00:00,"P0100",1,50.208308,11.747134,"core",0,22.6664075188437,"1500",9.58175754547119,5.77904176712036,605.969970703125,-0.997714400291443,-0.0658880025148392,336,336,"2021",0.507030232221659,-0.0428747054305819,7.02,1.2098313840553,1.99,0.171,11.6374269005848,0.59963953631262,51.5950543069882,21.7681,6.41085605451928,1.6,48.5164,17.9331996324441,1.33334146666667,26.7483,23.6943714214066,1.2000122
2021-12-03 10:00:00,"P0150",2,50.09995,11.844265,"core",0,12.5495080352153,"1600",12.8650989532471,1.7298367023468,637.669982910156,0.842334926128387,0.497833997011185,337,337,"2021",0.416129003095714,-0.0956898447252258,6.575,0.753689231579364,6.196,0.5,12.392,1.08926213489674,52.2717354410125,46.2092,34.3734234138375,1.9,98.8956,31.0555001424869,2.006665,52.6864,29.3965385068116,2.0599975
2021-12-06 09:00:00,"P0200",3,50.161078,11.757796,"core",0,54.2413666210239,"1000",9.81136798858643,3.16487073898315,579.669982910156,0.740774750709534,0.671745777130127,340,340,"2021",0.728399279601068,-0.0290683451905953,4.273,0.262243940321873,43.633,1.862,23.4334049409237,6.14391143911439,27.5809142475809,125.8674,9.67775437166742,3.2,179.4243,12.1530070780797,5.15616208333333,53.5569,12.9780913135504,5.80821611111111
2021-12-07 11:00:00,"PS001",4,50.08134,11.9621,"nocore",0,9.7320292933962,"1500",9.42406368255615,5.14941453933716,584.820007324219,-0.895641386508942,0.444606393575668,341,341,"2021",0.19730718950041,-0.0225098045920235,NA,NA,NA,NA,NA,NA,NA,21.9200000762939,15.2186854889329,1.5,64.4600009918213,19.9345290963764,3.02439193121693,42.5400009155273,22.2924509000982,3.7865878968254
2021-12-07 12:00:00,"PS003",5,50.11779,11.95386,"nocore",0,97.3630535288359,"1600",13.4484634399414,0.558195531368256,551.630004882812,0.947387039661407,-0.0740077421069145,341,341,"2021",0.30474202657087,-0.0911153846789032,NA,NA,NA,NA,NA,NA,NA,36.2400016784668,18.4958429874578,2,75.5500011444092,6.26217270624766,2.66199953333333,39.3099994659424,0.145337565642568,2.9929993
2021-12-07 14:00:00,"PS012",6,50.206833,11.755972,"nocore",0,21.662320662864,"1500",10.5994205474854,2.95722198486328,602.580017089844,0.138702243566513,0.98997163772583,341,341,"2021",0.498083453818405,-0.0432517979588868,NA,NA,NA,NA,NA,NA,NA,22.4300003051758,25.7259712538771,1.6,61.8400001525879,28.8454812908086,1.31333196666667,39.4099998474121,30.4052363092744,1.16999795
2021-12-09 10:00:00,"P0101",7,50.108694,11.855194,"core",0,16.7573182004822,"1500",10.5313682556152,3.73862409591675,653.150024414062,0.777219533920288,0.628857553005219,343,343,"2021",0.191536232526752,-0.00824927454409391,5.921,0.768877812733742,2.376,0.201,11.8208955223881,0.456152423551675,86.4982085611918,17.2441,9.16264145192328,1.7,58.4085,18.7916372489307,1.37666433333333,41.1644,23.6061351474345,1.2149965
2021-12-10 09:00:00,"P0151",8,50.208507,11.839507,"core",0,15.0240636171714,"1600",9.09530735015869,3.34914135932922,511.089996337891,0.126887395977974,0.984842002391815,344,344,"2021",0.502543726537013,-0.0432471489045103,5.782,1.01535572387723,3.572,0.304,11.75,0.900946215139443,50.5831628986789,35.7021,31.9886186228516,2.6,69.0594,29.6899968470547,2.44332666666667,33.3573,28.5406859591562,2.36499
2021-12-16 10:00:00,"P0201",9,50.075148,11.828917,"core",10,72.8648602936437,"1000",10.6206846237183,4.55191135406494,759.799987792969,-0.804720520973206,-0.593528211116791,350,350,"2021",0.703754325882173,-0.00505500988542551,3.756,0.0677740740637257,33.937,1.42,23.8992957746479,3.93878000440432,32.2822319132282,38.9995,12.8192351636073,3.3,122.4625,15.8160000858322,3.40500175,83.463,16.8149217265739,3.44000233333333
2021-12-20 09:00:00,"P0153",10,50.087048,11.848669,"core",0,62.8911549619361,"1600",11.8608999252319,1.47651267051697,634.02001953125,-0.833594024181366,0.552337229251862,354,354,"2021",0.399594800780308,-0.101704383631608,6.415,0.69061309391282,6.101,0.492,12.400406504065,1.23728564068595,53.9706144786152,41.9998,20.5671160688195,1.5,94.4377,27.942667211328,2.63333133333333,52.4379,31.6304427825822,3.199997
2022-01-07 11:00:00,"PS026",11,50.12856,11.73463,"nocore",0,50.4603932956595,"1500",11.5921907424927,3.16459059715271,562.409973144531,-0.0626251026988029,0.99721747636795,7,372,"2022",-0.0111914896973674,-0.393338491848347,NA,NA,NA,NA,NA,NA,NA,28.9400005340576,19.332779609257,1.3,68.3100004196167,25.2047234077877,1.60999966666667,39.3699998855591,28.1406953070531,1.7649995
